EdgeIdx,NodeR,NodeL,Ridx,Lidx,Ridx_orig,Lidx_orig,B,A,K,H,CC,actSign
474,257,354,257,51,1670,1311,0.160234,0.529004,-3.202276,7.9,0.951356,1
475,258,350,258,47,1671,1307,0.111713,0.349019,-2.604847,2.3,0.981478,1
476,259,350,259,47,1672,1307,0.117241,0.380167,-2.909327,8.5,0.993957,1
477,260,344,260,41,1673,1295,0.222427,0.136132,-4.27601,1.8,0.905203,1
478,261,344,261,41,1674,1295,0.19428,0.132783,-4,6.8,0.848025,1
479,262,344,262,41,1675,1295,0.172384,0.135305,-4,7,0.950572,1
480,263,353,263,50,1676,1310,0.126656,1.201544,-2.940178,6.1,0.996853,1
481,264,353,264,50,1677,1310,0.126162,1.141791,-2.880879,2.7,0.992628,1
482,265,353,265,50,1678,1310,0.139393,1.033321,-2.963301,7.3,0.994974,1
483,266,353,266,50,1679,1310,0.118889,0.940056,-3.205492,1.4,0.991139,1
484,267,347,267,44,1682,1300,0.174991,0.305069,-2.855486,1.9,0.94674,1
485,268,347,268,44,1683,1300,0.222834,0.20844,-3.617926,1.5,0.952341,1
486,269,357,269,54,1684,1316,0.29723,0.829191,-3.821034,9.2,0.960986,1
487,270,357,270,54,1685,1316,0.244702,0.863913,-3.803801,6.3,0.936391,1
488,271,357,271,54,1686,1316,0.330641,2.023101,-3.291896,0.8,0.983205,1
489,271,383,271,80,1686,1378,0.120013,0.283753,-2.840699,5,0.964785,1
490,272,357,272,54,1687,1316,0.359169,3.135674,-2.913716,1,0.95674,1
491,272,383,272,80,1687,1378,0.122505,0.259727,-2.872301,5.3,0.95664,1
492,273,357,273,54,1688,1316,0.319187,2.536739,-3.078871,1,0.95615,1
493,273,383,273,80,1688,1378,0.159917,0.380113,-2.89836,0.8,0.977408,1
494,274,357,274,54,1689,1316,0.509724,4.880039,-3.10554,1.1,0.975095,1
495,274,383,274,80,1689,1378,0.126255,0.289843,-2.884315,4.7,0.967844,1
496,275,352,275,49,1692,1309,0.393052,0.282579,-4.506686,1.1,0.747292,1
497,276,391,276,88,1698,1414,0.228782,-0.030493,-2.492877,9.9,0.595317,-1
498,277,339,277,36,1700,1289,1.012252,1.323125,-3.904389,8.5,0.938148,1
499,278,372,278,69,1708,1340,0.908359,18.161318,-1.250772,1.5,0.933533,1
500,279,352,279,49,1712,1309,0.881088,0.522199,-3.486213,1.5,0.789182,1
501,280,339,280,36,1717,1289,0.295386,0.087253,-3.959362,7.8,0.666246,1
502,281,340,281,37,1723,1290,1.018411,0.338982,-5.276606,9.9,0.512219,1
503,282,348,282,45,1724,1303,0.35857,9.127085,-3.090654,1.2,0.989734,1
504,282,376,282,73,1724,1345,0.97829,7.334281,-2.70804,0.9,0.516569,1
505,283,304,283,1,1727,1024,0.395332,3.946559,0.667021,5.8,0,1
506,283,305,283,2,1727,1025,0.840137,0.395338,-7.833519,1.1,0.733661,1
507,283,371,283,68,1727,1339,1.039422,1.79806,-5.824862,0.8,0.941434,1
508,284,377,284,74,1737,1346,0.307212,0.371249,-2.826757,4.4,0.958823,1
509,285,377,285,74,1738,1346,0.337312,5.356894,-4.884771,1.4,0.989241,1
510,286,377,286,74,1739,1346,0.225597,2.719065,-3.936584,1.9,0.991642,1
511,287,377,287,74,1740,1346,0.309479,4.404212,-5.009612,1,0.983718,1
512,288,308,288,5,1744,1078,0.122297,0.034442,-7.404389,2.6,0.424386,1
513,288,312,288,9,1744,1111,0.203275,0.894476,-3.689201,2.6,0.821532,1
514,288,347,288,44,1744,1300,0.175701,1.514998,-2.297393,0.6,0.969248,1
515,289,347,289,44,1745,1300,0.591224,2.284603,-4.588795,0.4,0.972413,1
516,290,347,290,44,1746,1300,0.150139,0.519531,-2.75659,2.8,0.942008,1
517,291,308,291,5,1747,1078,0.741956,0.443894,-6.221849,0.4,0.80166,1
518,291,312,291,9,1747,1111,0.751426,1.359223,-5.252804,9.9,0.485983,1
519,291,347,291,44,1747,1300,0.600568,3.950259,-4.045763,0.4,0.993778,1
520,292,352,292,49,1748,1309,0.198919,0.251811,-3.869747,1.9,0.969607,1
521,293,352,293,49,1749,1309,0.202209,0.268945,-3.984674,4.1,0.943498,1
522,294,340,294,37,1761,1290,0.165893,0.748628,-4.936094,9.9,0.838896,1
523,295,340,295,37,1762,1290,0.11455,0.045563,-4.6292,9.9,0.370106,1
