OdorIdx,ListIdx,MolIdx,CAS,OdorTypeN,OdorDescriptorN
2953,6,2408,17909-77-2,130,358;310;130
2954,6,2412,17916-91-5,257,257;525;470;215
2955,6,2420,17957-94-7,329,82;329;257;288
2956,6,2423,17990-16-8,17,40;17;18;538
2957,6,2427,18031-40-8,257,353;240;191;329;243;208;112
2958,6,2429,18060-79-2,336,264;336
2959,6,2438,18096-62-3,22,22;272;192;181
2960,6,2442,18114-49-3,79,79;427
2961,6,2443,18127-01-0,201,201;482;530;169;208
2962,6,2444,18138-03-9,243,45;253;518;150;348;243
2963,6,2445,18138-04-0,337,498;518;319;348;346;181;337;243;404;254
2964,6,2446,18138-05-1,348,319;348;518
2965,6,2448,18172-67-3,257,178;251;243;395;538;208;423
2966,6,2452,18189-02-1,201,201;259;344;250
2967,6,2454,18189-07-6,201,236;201;344
2968,6,2466,18277-27-5,243,257;48;421;243;503;470
2969,6,2482,18318-83-7,215,25;215
2970,6,2486,18358-53-7,538,99;82
2971,6,2487,18362-97-5,215,396;215
2972,6,2488,18368-91-7,181,82;375;181;337;265;429
2973,6,2489,18368-95-1,495,82;353;497;257;147;495;111;395;538;505
2974,6,2490,18374-76-0,538,390;7;538
2975,6,2492,18383-49-8,329,329;88;469;482;470
2976,6,2493,18383-49-8,329,469;329
2977,6,2498,18402-84-1,191,272;381;191;28;181;243;25;531;327;208;215
2978,6,2501,18409-17-1,243,191;130;243;518
2979,6,2502,18409-18-2,191,430;130;368;531;437
2980,6,2503,18409-20-6,191,191;115;159;117;531
2981,6,2504,18409-21-7,191,191;130;531;322;171;215
2982,6,2509,18433-93-7,189,468;189;426;482;79;505;171;215;438
2983,6,2510,18433-97-1,348,348;253
2984,6,2511,18433-98-2,215,
2985,6,2516,18436-37-8,243,240;201;482;243;140;215
2986,6,2521,18445-88-0,130,314;9;201;130;368
2987,6,2542,18479-49-7,538,82;130;538
2988,6,2543,18479-51-1,201,533;130;62;538;61
2989,6,2544,18479-54-4,201,298;201;130;482;208
2990,6,2546,18479-57-7,130,298;300;201;130;482;208
2991,6,2548,18479-58-8,130,533;300;201;130;144;208;135
2992,6,2549,18479-58-8,130,314;257;300;530;144;208
2993,6,2552,18479-68-0,215,257;215
2994,6,2556,18485-38-6,531,531;215;243
2995,6,2557,18486-69-6,470,82;126;504;495;271;470
2996,6,2559,18492-65-4,243,353;191;257;457;518;159;178;243;199;25;531;161;443;215
2997,6,2577,18607-93-7,470,390;470
2998,6,2581,18640-74-9,243,518;410;526;181;503;243;326;337;531
2999,6,2595,18675-35-9,538,470;538
3000,6,2596,18679-18-0,191,282;191;159;482;531;171;215
3001,6,2611,18721-61-4,480,404;480;518
3002,6,2626,18794-77-9,480,224;319;201;243;215
3003,6,2628,18794-84-8,538,257;130;482;538
3004,6,2631,18824-63-0,130,201;130;243;208;398
3005,6,2632,18829-55-5,243,353;191;518;243;208;215;415
3006,6,2633,18829-56-6,191,9;191;130;243;161
3007,6,2641,18836-52-7,470,257;470
3008,6,2645,18871-14-2,201,353;272;257;201;243;334
3009,6,2646,18871-14-2,201,353;272;491;201;243
3010,6,2647,18881-04-4,40,40
3011,6,2668,18999-28-5,243,240;189;215;243
3012,6,2669,19009-56-4,130,178;130;531;530;208
3013,6,2689,19089-92-0,215,87;353;381;101;518;396;243;482;25;524;417;505;215
3014,6,2700,19139-31-2,257,257;307;201;243;154;208;398
3015,6,2701,19141-40-3,201,202;250;201;266;215;386
3016,6,2708,19224-26-1,189,10;460;326;442
3017,6,2721,19322-27-1,87,87;477;479;156;482;69
3018,6,2722,19329-89-6,215,348;159;215
3019,6,2723,19342-01-9,199,199;20;482
3020,6,2734,19407-28-4,538,
3021,6,2737,19431-84-6,191,208;191
3022,6,2739,19435-97-3,257,259;257
3023,6,2745,19464-94-9,215,271;475;57;215;420
3024,6,2753,19487-61-7,531,191;531
3025,6,2774,19700-21-1,181,265;208;181;337
3026,6,2795,19788-49-9,480,319;356;480
3027,6,2796,19788-50-2,319,319;405;320;145
3028,6,2798,19819-98-8,201,430;201;181;243;531;169;343;328;386
3029,6,2800,19825-93-5,257,103
3030,6,2813,19870-74-7,538,18;178;181;538;520;99
3031,6,2814,19872-52-7,480,97;480;319;243;215;165
3032,6,2831,19894-97-4,538,329;395;538;321;40
3033,6,2836,19902-08-0,495,251;482;243;395;538;208
3034,6,2842,19912-62-0,257,259;470;257
3035,6,2865,20053-88-7,505,227;193;201;482;505;470
3036,6,2874,20073-13-6,201,272;201
3037,6,2885,20125-81-9,215,215;57
3038,6,2886,20125-84-2,215,191;181;243;322;208
3039,6,2896,20175-19-3,215,215;243;288
3040,6,2897,20184-89-8,243,314;161
3041,6,2923,20279-43-0,87,87;201;482
3042,6,2925,20279-51-0,201,243;201;215;482
3043,6,2929,20286-45-7,215,257;130;243;337;215
3044,6,2937,20298-69-5,215,82;56;300;315;198;538;470;215
3045,6,2940,20298-72-0,538,82;366;201;538;208
3046,6,2943,20307-83-9,257,257;538;215
3047,6,2944,20307-84-0,257,286;257;482;538
3048,6,2950,20333-39-5,480,480;518;11;243;506
3049,6,2954,20347-65-3,82,82;40;257;198
3050,6,2958,20407-84-5,257,358;310;9;130;326;531
3051,6,2960,20425-54-1,130,9;300;177;130
3052,6,2979,20489-53-6,130,238;131
3053,6,2997,20582-85-8,11,480;518;221;243;404;80
3054,6,3012,20662-84-4,348,518;427;526;348;346;336;460
3055,6,3017,20664-46-4,191,191;288;243;524;215
3056,7,0,20665-85-4,517,87;159;482;121;215;517
3057,7,8,20691-52-5,201,201;538
3058,7,10,20702-77-6,352,
3059,7,25,20770-40-5,201,226;432
3060,7,30,20777-49-5,201,82;163;49;329;518;430;201;482;243;395;215
3061,7,32,20780-48-7,201,56;201;130;538;208
3062,7,33,20780-48-7,257,533;257;130;538;144
3063,7,34,20780-49-8,531,430;259;482;531;208;215;135
3064,7,38,20815-27-4,243,226;201;243;181
3065,7,44,20834-59-7,201,163;201;243;333
3066,7,48,20859-10-3,257,353;257;243;505;215
3067,7,60,20920-83-6,463,517;96;482;463
3068,7,61,20921-04-4,470,470
3069,7,76,21040-45-9,470,40;201;470;482
3070,7,78,21063-71-8,215,208;396
3071,7,82,21112-37-8,538,203;538;520
3072,7,84,21129-27-1,257,495;300;482;395;538
3073,7,87,21145-77-7,335,335;482;408;17;215
3074,7,94,21188-58-9,215,353;274;396;482;538;212;505;426;188;215
3075,7,96,21188-61-4,215,215;243
3076,7,97,21195-59-5,427,427
3077,7,102,21280-29-5,22,133;18;335;178;22;17
3078,7,104,21284-22-0,470,257;493;470
3079,7,130,21593-77-1,427,145;427
3080,7,137,21653-20-3,82,82;329;470
3081,7,142,21661-97-2,130,9;130;161
3082,7,145,21662-09-9,130,358;9;130;89;530
3083,7,146,21662-13-5,191,358;310;191;9;130;243;322;470
3084,7,148,21662-16-8,191,358;238;191;130
3085,7,153,21690-43-7,314,130;368;136
3086,7,159,21722-83-8,201,329;430;243;398;420
3087,7,172,21834-92-4,121,9;139;346;243;482;121;348;58;76;215;72
3088,7,174,21835-00-7,87,87
3089,7,175,21835-01-8,87,87;535;312;438;482;478;72;194
3090,7,179,21862-63-5,538,375;538
3091,7,184,21944-83-2,191,191;161;464
3092,7,185,21944-98-9,9,9;130;215
3093,7,186,21948-70-9,480,348;480;189;152
3094,7,189,21963-26-8,329,329;215
3095,7,190,21964-44-3,181,353;159;181;243;334
3096,7,202,22029-76-1,201,257;522;201;482;57;538;408;40;505;215
3097,7,203,22030-19-9,201,457;271;522;201;482;57;475;538;420
3098,7,209,22047-25-2,402,253;402;67;152;427;348;121;141;337;404
3099,7,210,22047-26-3,427,402;427;139;141;142
3100,7,211,22047-27-4,348,348;402
3101,7,216,22094-00-4,215,240;215;243
3102,7,222,22104-78-5,243,243;518
3103,7,223,22104-79-6,191,191;518;482;161;322
3104,7,224,22104-80-9,191,430;130;368;531;208;437
3105,7,225,22104-81-0,191,191
3106,7,268,22414-70-6,329,82;329
3107,7,270,22418-66-2,130,56;130;243;392;538;208
3108,7,277,22451-49-6,470,257;470;215
3109,7,278,22451-50-9,470,257;470;215
3110,7,280,22451-73-6,470,470
3111,7,282,22457-23-4,243,533;288;219;243;196;154
3112,7,283,22457-25-6,130,56;300;130
3113,7,294,22471-55-2,215,17;201;215;430
3114,7,324,22628-11-1,201,159;201;482
3115,7,326,22629-49-8,130,310;9;130;531;208;455
3116,7,335,22694-96-8,337,87;518;348;139;243;337;69;538;72
3117,7,337,22717-57-3,329,112;329;215;289
3118,7,345,22771-44-4,329,495;329
3119,7,351,22810-10-2,201,257;430;130;243;208;135
3120,7,357,22874-79-9,215,111;251;334;536;215
3121,7,360,22882-89-9,201,135;430;144
3122,7,368,22940-86-9,40,40;482
3123,7,378,23089-26-1,201,348;215;140
3124,7,387,23147-57-1,79,327;171;159;79
3125,7,402,23267-57-4,215,522;366;482;57;538;408;215
3126,7,404,23283-97-8,337,82;257;181;482;337;251
3127,7,407,23328-62-3,480,480;518;221;348;336;404;354
3128,7,409,23333-91-7,181,265;208;181
3129,7,417,23433-05-8,337,
3130,7,425,23495-12-7,215,357;339;251;286;215;423
3131,7,438,23550-40-5,480,480;243;337;326;195;429;505;215;165
3132,7,450,23654-92-4,480,319;480;51
3133,7,455,23696-85-7,201,477;430;399;181;201;482;243;538;343;236;215;420
3134,7,457,23726-91-2,215,164;499;430;399;201;259;57;215
3135,7,458,23726-92-3,215,499;164;201;215
3136,7,459,23726-93-4,215,499;430;259;482;25
3137,7,460,23726-94-5,201,25;201;215;430
3138,7,468,23747-43-5,480,480;215
3139,7,469,23747-45-7,105,459;480;518;105;4;334;404;195;502;426;171
3140,7,470,23747-48-0,181,498;150;427;234;319;181;348;482;141;405;380;451
3141,7,473,23769-39-3,480,356;480;354
3142,7,475,23787-80-6,348,87;518;152;348;346;345;235;254
3143,7,476,23787-90-8,538,375;499;269;178;181;538;99
3144,7,480,23811-08-7,470,390;470;538
3145,7,481,23832-18-0,480,533;480;457;147;495;74;243;57;538;505
3146,7,495,23911-56-0,201,362;201
3147,7,509,23986-74-5,538,470;538
3148,7,512,24048-14-4,531,9;531
3149,7,519,24050-16-6,319,64;319;71;467;145
3150,7,532,24168-70-5,243,518;219;390;348;243;337;404;387;376
3151,7,541,24202-00-4,257,395;257;423
3152,7,544,24237-00-1,201,226;518;201;181;243;470
3153,7,556,24276-84-4,470,394;137;470;482
3154,7,559,24295-03-2,402,498;253;402;152;348;421;69;380
3155,7,570,24323-38-4,215,215;57
3156,7,571,24330-52-7,11,480;221;319;427;348;470;354
3157,7,582,24401-36-3,215,215
3158,7,589,24406-05-1,538,178;538
3159,7,593,24415-26-7,415,334;415
3160,7,616,24587-53-9,181,240;257;243;337;331
3161,7,633,24680-50-0,470,126;201;482;112;470;517
3162,7,634,24683-00-9,243,243;219;387;376
3163,7,636,24691-15-4,257,257;130;243;538;208;343
3164,7,643,24703-35-3,243,533;243;538
3165,7,645,24717-85-9,201,226;491;288;430;201;215
3166,7,646,24717-86-0,82,82;348;198
3167,7,647,24720-09-0,215,164;430;201;25;215
3168,7,656,24817-51-4,201,430;201;243;482;531;505;215
3169,7,660,24851-98-7,201,353;272;282;238;201;130;243;482;291;538;343;505;215
3170,7,755,25152-83-4,210,226;191;210;243;531
3171,7,756,25152-84-5,191,353;191;115;414;71;348;130;210;161;117;322;149
3172,7,758,25152-85-6,243,353;191;363;288;201;243;482;40;208;470;215
3173,7,764,25166-87-4,243,243;518
3174,7,776,25225-08-5,538,257;25;538;208;455;215
3175,7,777,25225-09-6,82,82;329
3176,7,778,25225-10-9,201,226;335;430;201;215
3177,7,797,25304-14-7,496,329;257;538;99;496
3178,7,799,25312-34-9,201,522;201;482;57;538;408;505
3179,7,879,25343-57-1,87,87
3180,7,891,25394-57-4,215,215
3181,7,892,25395-31-7,8,
3182,7,894,25409-08-9,427,145;427
3183,7,897,25415-62-7,215,25;215;208
3184,7,905,25435-63-6,201,358;272;282;333;140
3185,7,911,25485-88-5,201,243;40;201;482
3186,7,927,25524-95-2,159,272;282;191;159;531;140;505;171;215;377
3187,7,932,25564-22-1,201,272;507;201;538
3188,7,946,25634-93-9,201,531;201;430
3189,7,956,25679-28-1,24,
3190,7,957,25680-57-3,181,219;181;387;407
3191,7,958,25680-58-4,181,181;348;243;407;387
3192,7,966,25773-40-4,181,49;348;181;121;376
3193,7,1027,26131-91-9,75,75;427
3194,7,1064,26330-64-3,201,9;201;299;333
3195,7,1067,26370-28-5,243,161;243;523
3196,7,1093,26446-31-1,505,353;208;140;377
3197,7,1094,26446-32-2,505,353;140;208;215;377
3198,7,1108,26486-13-5,480,319;480;451;427
3199,7,1111,26486-21-5,480,319;354;480;427
3200,7,1115,26489-01-0,201,191;430;495;201;130;482;243;531;289
3201,7,1117,26494-10-0,319,319;69
3202,7,1120,26516-27-8,348,524;348;257;538
3203,7,1136,26549-24-6,181,353;334;180
3204,7,1137,26549-25-7,286,321;286
3205,7,1138,26553-46-8,215,247;374;533;259;243;371;396;215
3206,7,1139,26553-47-9,215,191;215;536
3207,7,1145,26563-75-7,531,531;215;243;518
3208,7,1175,26643-91-4,121,430;139;348;482;201;259;408
3209,7,1184,26693-24-3,480,480;463;427
3210,7,1193,26728-44-9,215,295;193;430;178;130;180;470;215
3211,7,1226,26896-48-0,17,335;201;482;17;444
3212,7,1227,26912-64-1,201,257;201;538;215;23
3213,7,1231,26927-89-9,40,395;40;257
3214,7,1232,26927-90-2,395,395;40;257
3215,7,1237,26946-66-7,215,329;215;243;337
3216,7,1240,26952-21-6,191,358;191;430
3217,7,1251,27043-05-6,75,75;427;348;141;538
3218,7,1258,27113-22-0,470,
3219,7,1299,27300-27-2,427,87;69;427
3220,7,1363,27538-09-6,87,87;312;75;482;69;478
3221,7,1364,27538-10-9,87,87;84;482;78
3222,7,1372,27593-23-3,504,282;191;504;159;482;531;140;72
3223,7,1375,27606-09-3,201,238;226;307;201;243;341;220
3224,7,1379,27625-35-0,215,130;482;25;112;536;61;215
3225,7,1404,27817-67-0,480,11;356;221
3226,7,1408,27829-72-7,243,243;215;482;518
3227,7,1425,27939-60-2,243,533;9;257;464;243;154
3228,7,1437,28043-10-9,257,82;257;201;538;343;215
3229,7,1442,28069-72-9,243,353;191;288;348;243;523;161
3230,7,1443,28069-74-1,243,518;288;522;181;421;243;337;334;417;343;215
3231,7,1463,28217-92-7,348,348;243;337
3232,7,1464,28219-60-5,538,335;159;531;538;444
3233,7,1465,28219-61-6,538,353;242;531;538;444
3234,7,1466,28231-03-0,538,482;100;538
3235,7,1482,28296-85-7,,201;482;408;426;215
3236,7,1489,28343-22-8,22,22;394;289
3237,7,1499,28371-99-5,538,18;335;499;538;520
3238,7,1522,28462-85-3,518,243;518;332
3239,7,1539,28588-74-1,480,118;480;319;326;199
3240,7,1540,28588-75-2,319,480;115;427;319;453;320;354;451
3241,7,1541,28588-76-3,480,319;480
3242,7,1547,28631-86-9,243,191;518;348;181;243;408
3243,7,1552,28645-51-4,335,335;191;19;482;531;215
3244,7,1554,28664-35-9,87,87;312;479;482;141
3245,7,1555,28664-35-9,87,87;312;479;156;482;141;478
3246,7,1563,28787-36-2,215,271;505;215;57
3247,7,1572,28839-13-6,257,257;525;470;215
3248,7,1583,28897-58-7,105,215;105
3249,7,1592,28940-11-6,322,314;394;243;368;530;322;208;135
3250,7,1599,28973-97-9,243,130;243
3251,7,1604,28977-58-4,82,82;300;495
3252,7,1606,28982-60-7,,353;257
3253,7,1610,29021-37-2,538,395;215;538
3254,7,1633,29127-83-1,243,366;191;243
3255,7,1637,29171-20-8,335,335;19;178;482;531;538
3256,7,1645,29214-60-6,201,
3257,7,1652,29350-73-0,538,208;257;538;520
3258,7,1659,29414-56-0,82,82;300
3259,7,1662,29460-90-0,329,259;329;348;243
3260,7,1664,29460-92-2,243,215;243;518
3261,7,1667,29461-13-0,538,375;538
3262,7,1676,29548-30-9,201,201;243;430
3263,7,1685,29587-89-1,215,30;282;215
3264,7,1690,29606-79-9,329,208;257;389
3265,7,1712,29759-11-3,201,257;201;215;482
3266,7,1721,29811-50-5,531,282;243;337;531;215
3267,7,1727,29837-12-5,470,470;311;215
3268,7,1732,29873-99-2,,353;243;538
3269,7,1741,29895-73-6,201,430;288;259;201;169
3270,7,1742,29896-45-5,243,202;191;243;538;208
3271,7,1751,29926-41-8,151,240;356;498;257;115;152;427;348;406;484;69;235
3272,7,1752,29926-42-9,319,319;348;145;427
3273,7,1757,30021-74-0,538,470;257;538
3274,7,1759,30086-02-3,215,240;215;243
3275,7,1760,30100-15-3,201,236;201;363
3276,7,1767,30168-23-1,201,9;201;482;333;531
3277,7,1770,30207-98-8,531,464;430;201;130;531;136;208
3278,7,1780,30310-41-9,201,226;257;288;201;243
3279,7,1788,30361-28-5,243,381;191;383;243;322
3280,7,1789,30361-29-6,243,353;87;39;191;115;130;482;531;79;470
3281,7,1800,30390-50-2,130,191;9;130;358
3282,7,1805,30408-61-8,75,75;427
3283,7,1809,30418-89-4,215,353;191;181;92;531;132;215;437
3284,7,1813,30453-31-7,11,11;354;356;221
3285,7,1825,30557-76-7,538,538;520
3286,7,1837,30640-46-1,130,291;300;506
3287,7,1842,30673-38-2,195,353;30;143;65;482;195
3288,7,1843,30673-60-0,531,353;191;518;243;531;538;215
3289,7,1846,30689-75-9,191,358;274;191;243
3290,7,1854,30772-69-1,538,201;538;17;215;444
3291,7,1855,30772-79-3,322,322;9;209;243
3292,7,1859,30895-79-5,215,396;215
3293,7,1860,30897-75-7,538,395;191;538;353
3294,7,1865,30954-98-4,201,362;257;154
3295,7,1867,30960-39-5,538,99;538
3296,7,1889,31147-36-1,201,40;201;135
3297,7,1905,31323-51-0,191,191;140;482;215
3298,7,1909,31375-17-4,130,394;257;288;201;243;538;154
3299,7,1916,31416-78-1,215,201;243;482;538;215
3300,7,1921,31499-70-4,480,11;354;356;221
3301,7,1922,31499-71-5,11,11;354;356;221
3302,7,1923,31499-72-6,201,257;366;181;522;201;57;525;538;408;215;420
3303,7,1924,31501-11-8,243,240;381;191;396;243;531;536;40;505;215;413
3304,7,1925,31502-14-4,243,353;191;522;243;486;531;322
3305,7,1933,31539-84-1,201,291;238;201
3306,7,1936,31565-19-2,215,188;215;482
3307,7,1963,31704-80-0,243,191;518;528;201;243;161;169;215
3308,7,1974,31823-43-5,243,161;243
3309,7,1980,31883-01-9,348,181;243;345
3310,7,1984,31906-04-4,201,424;201;333;538;169
3311,7,1985,31915-95-4,201,40;201;215;482
3312,7,2016,32210-23-4,538,353;257;201;243;538;99;40;215
3313,7,2022,32214-91-8,538,459;538;99;208;470
3314,7,2023,32231-50-8,105,481;105
3315,7,2025,32263-00-6,314,314;75;427
3316,7,2031,32350-16-6,348,348;75;253
3317,7,2036,32388-55-9,538,335;538;520;99;17;289
3318,7,2045,32449-92-6,325,325
3319,7,2055,32540-03-7,201,201;299
3320,7,2070,32659-21-5,538,430;243;538
3321,7,2073,32665-23-9,215,25;396;215;536
3322,7,2074,32669-00-4,257,9;31;542;343;496
3323,7,2080,32736-90-6,79,405;79
3324,7,2081,32736-91-7,348,319;498;253;254
3325,7,2089,32737-14-7,348,15;396;181;253
3326,7,2090,32741-11-0,243,329;427;348;243;387
3327,7,2091,32749-94-3,243,189;243
3328,7,2093,32764-98-0,353,353;272;30;201;140;391;507;215;377
3329,7,2096,32803-39-7,201,9;201;130;482;22;531;408;215
3330,7,2111,32974-92-8,348,150;402;181;348;337;406;404
3331,7,2116,33046-81-0,215,353;282;191;319;348;215
3332,7,2130,33204-48-7,75,139;75;141
3333,7,2131,33204-74-9,329,469;329
3334,7,2136,33284-96-7,215,343;374
3335,7,2161,33467-73-1,243,240;459;518;130;243;482;531;322;208;215
3336,7,2162,33467-74-2,243,381;288;243;482;25;531;208;215
3337,7,2163,33467-74-2,243,381;518;41;243;25;322;208;215;377
3338,7,2165,33467-76-4,191,191;398;243;415
3339,7,2166,33467-79-7,191,348;215;243;105
3340,7,2178,33580-05-1,243,398;243
3341,7,2183,33662-58-7,332,394;349;455;482
3342,7,2188,33673-62-0,201,282;399;326;531;507
3343,7,2189,33673-65-3,243,240;243
3344,7,2197,33704-61-9,335,335;470;135;538
3345,7,2205,33855-57-1,215,191;215;243
3346,7,2207,33880-83-0,257,208;531;257
3347,7,2208,33885-51-7,9,9;208;348;395;530;40;343;135
3348,7,2218,33922-73-5,480,11;354;221
3349,7,2237,33941-99-0,201,22;272;201;266
3350,7,2241,33959-27-2,480,480;354;319;215;451
3351,7,2250,34003-72-0,251,482;251;157
3352,7,2255,34047-39-7,480,191;480;518;181;482;326;404;502
3353,7,2263,34131-98-1,201,238;424;243;220;538;520
3354,7,2265,34135-85-8,480,11;159;354;221
3355,7,2276,34210-19-0,243,459;243
3356,7,2288,34291-99-1,243,208;9;243;288
3357,7,2292,34300-94-2,319,470;482;518;427
3358,7,2298,34322-06-0,243,480;243;219
3359,7,2300,34322-09-3,243,240;470;257;243
3360,7,2313,34349-25-2,257,74
3361,7,2317,34365-79-2,243,11;181;243;219
3362,7,2325,34413-35-9,348,49;105;427;152;102;348;337
3363,7,2335,34451-19-9,195,159;482;334;195;327;215
3364,7,2338,34495-71-1,215,208;396;274;381
3365,7,2344,34545-88-5,140,498;140;504
3366,7,2352,34619-12-0,480,480;354
3367,7,2359,34686-67-4,201,272;41;201;243;531;343;505;215
3368,7,2360,34686-71-0,201,353;272;30;201;140;391;507;215;377
3369,7,2362,34687-46-2,201,353;272;201;140;327;171
3370,7,2363,34713-70-7,201,201;266;243
3371,7,2367,34764-02-8,531,332;358;143;9;243;531;140;208
3372,7,2370,34902-57-3,335,335;531;482
3373,7,2382,35044-59-8,201,257;430;25;538;208;343
3374,7,2384,35044-68-9,215,164;499;430;399;201;259;215
3375,7,2391,35087-49-1,201,499;430;399;201;26;243;215;496
3376,7,2392,35117-86-3,436,436
3377,7,2407,35154-45-1,243,28;396;201;243;208;505;177;215
3378,7,2409,35158-25-9,257,257;243;286;502;538;61
3379,7,2410,35178-55-3,257,329;257
3380,7,2412,35194-30-0,215,381;191;243;25;396;215
3381,7,2419,35206-51-0,215,274;381;399;25;236;215
3382,7,2424,35234-21-0,536,243;215;536
3383,7,2431,35243-43-7,404,407
3384,7,2433,35250-53-4,480,480;75;115;427;319;80;51;451
3385,7,2438,35250-78-3,215,215;538
3386,7,2440,35274-05-6,79,191;79
3387,7,2462,35448-31-8,199,199
3388,7,2465,35472-56-1,215,392;310;482
3389,7,2476,35628-00-3,40,395;40
3390,7,2488,35720-57-1,335,335
3391,7,2504,35852-42-7,215,257;531;215;464
3392,7,2506,35852-46-1,243,381;236;279;41;243;25;44;208;505;188;215
3393,7,2509,35854-86-5,322,274;191;518;85;243;260;531;161;322;208;135
3394,7,2519,35926-04-6,243,438;215;243
3395,7,2529,35951-24-7,335,133;335;178;408;17
3396,7,2537,36004-04-3,201,40;201;215;482
3397,7,2554,36219-73-5,191,191;130
3398,7,2559,36267-71-7,151,498;150;402;427;152;348;484
3399,7,2560,36267-74-0,402,482;402
3400,7,2561,36267-77-3,402,102;402
3401,7,2569,36306-87-3,538,257;499;541;538;17
3402,7,2578,36399-15-2,335,22;335;464
3403,7,2580,36431-72-8,257,82;329;499;257;491;288;147;534;243;326;538;208;470
3404,7,2581,36438-54-7,394,321;394;57
3405,7,2598,36653-82-4,531,353;201;242;531;135
3406,7,2608,36701-01-6,215,87;105;396;482;25;212;505;215
3407,7,2611,36731-41-6,348,45;253;348;139;142
3408,7,2616,36781-67-6,215,528;381;215;243
3409,7,2618,36789-59-0,257,538;201;286;57
3410,7,2621,36806-46-9,322,322
3411,7,2625,36871-78-0,87,87;215
3412,7,2626,36880-33-8,215,112;14
3413,7,2635,37064-20-3,215,25;396;215;536
3414,7,2642,37160-77-3,348,348;72
3415,7,2645,37172-02-4,17,17;178;19;538
3416,7,2646,37172-05-7,17,246;17;178;538
3417,7,2648,37172-53-5,201,353;272;257;201;243;208
3418,7,2721,37514-30-0,538,18;335;541;538;101
3419,7,2722,37519-97-4,,169;201;326
3420,7,2723,37526-88-8,40,430;181;482;334;40;112;13
3421,7,2729,37609-25-9,335,133;335;178;408;17
3422,7,2730,37617-03-1,201,531;201;430
3423,7,2733,37645-61-7,243,257;243
3424,7,2739,37674-63-8,348,158;348;253
3425,7,2741,37677-14-8,9,314;9;201;130;242
3426,7,2750,37837-44-8,215,201;482;14;112;215
3427,7,2752,37887-04-0,480,480;221;319;427;11;320;354
3428,7,2766,37973-51-6,201,259;344;482;266
3429,7,2772,38019-89-5,159,87;159;482;517
3430,7,2798,38205-55-9,348,348;480;427
3431,7,2799,38205-60-6,348,480;319;181;348;337;141
3432,7,2800,38205-61-7,348,319;348;181;427
3433,7,2801,38205-64-0,480,80;243;518;480
3434,7,2806,38223-29-9,335,335
3435,7,2816,38284-11-6,82,82;482
3436,7,2819,38284-27-4,191,334;191;215
3437,7,2822,38285-49-3,201,272;201;470;373
3438,7,2823,38303-23-0,243,257;495;181;243;538
3439,7,2830,38363-23-4,191,208;191
3440,7,2842,38427-80-4,538,468;257;243;22;180;538;208;470;215
3441,7,2843,38433-74-8,79,240;191;410;243;79
3442,7,2845,38446-21-8,201,487;392;215;344
3443,7,2848,38462-22-5,480,329;480;74;243;57;505;215;420;377
3444,7,2849,38462-23-6,314,209;534;155;326;79;530;135
3445,7,2877,38713-41-6,87,87;348;121;427
3446,7,2882,38768-63-7,215,191;215
3447,7,2891,38888-81-2,139,253;427;181;139;348;337
3448,7,2892,38917-61-2,75,142;181;348;75
3449,7,2893,38917-61-2,75,181;348;75;427
3450,7,2894,38917-62-3,348,348;427
3451,7,2895,38917-63-4,348,348;427
3452,7,2916,39026-94-3,215,518;105;243;524;215
3453,7,2918,39028-58-5,,538
3454,7,2919,39029-41-9,538,257;538
3455,7,2922,39067-39-5,243,9;481;534;243;123
3456,7,2923,39067-80-6,243,97;329;480;243;57;215
3457,7,2929,39156-54-2,87,87;478;156;479
3458,7,2934,39203-20-8,130,358;362;236;298
3459,7,2935,39212-23-2,504,282;498;504;75;312;304;348;140;538;101;157
3460,7,2938,39251-86-0,201,381;201;243;482;25;531
3461,7,2939,39251-88-2,531,353;159;181;334;486;531
3462,7,2941,39252-02-3,243,531;191;243;337
3463,7,2942,39252-03-4,531,87;482;326;531;69;215;377
3464,7,2943,39252-05-6,191,87;191
3465,7,2944,39255-32-8,243,191;29;243;531;322;208;396;343;215
3466,7,3003,39556-41-7,215,189;215;243
3467,7,3007,39638-67-0,140,269;137;140;101;470
3468,7,3008,39647-11-5,201,272
3469,7,3016,39711-79-0,329,325;329;8;147
3470,7,3019,39736-25-9,130,202;519;259;482;293
3471,7,3020,39741-41-8,348,348;427
3472,7,3023,39770-05-3,9,9;430;175;201;531
3473,7,3031,39872-57-6,215,499;430;399;201;215
3474,7,3037,39900-18-0,215,201;215
3475,7,3038,39900-38-4,538,99;17;538;520
3476,7,3040,39924-27-1,215,374;28;396;237;243;371;505;215
3477,7,3044,39924-52-2,201,353;272;201;243;242;391;465
3478,7,3050,40010-99-9,201,272;201;220;507
3479,7,3052,40018-26-6,480,184;498;480;319;71;69;502;415;244
3480,7,3061,40188-41-8,130,9;191;130;326;291
3481,7,3063,40203-73-4,201,533;178;482;507;544;215
3482,7,3068,40267-72-9,215,243;215;189
3483,7,3069,40323-88-4,480,480;75;189;466;215
3484,7,3071,40348-72-9,215,215;482;337
3485,7,3072,40379-24-6,257,163;257;522;201;482;538;215
3486,7,3081,40527-42-2,201,201;470;482;256
3487,7,3088,40596-76-7,129,238;129;201;130;291
3488,7,3095,40654-82-8,201,337;201;482;181
3489,7,3102,40716-66-3,201,201;130;243;531;538
3490,7,3108,40785-62-4,181,22;343;335;181
