OdorIdx,ListIdx,MolIdx,CAS,OdorTypeN,OdorDescriptorN
1110,3,1064,1222-05-5,335,335;201;482
1111,3,1066,1227-51-6,191,531;191;451
1112,3,1145,1319-88-6,215,482;337;58;112;215;13
1113,3,1152,1321-30-8,215,536;215;482
1114,3,1157,1321-89-7,243,430;201;130;482;291
1115,3,1159,1322-17-4,201,353;272;201;482;530;208
1116,3,1161,1322-58-3,201,430;201;178;482;538;40
1117,3,1163,1323-00-8,538,366;201;348;522;243;4;57;538;408;94
1118,3,1166,1323-39-3,191,
1119,3,1169,1323-75-7,538,201;259;444
1120,3,1201,1333-09-1,215,14
1121,3,1203,1333-49-9,201,430;482;337;398;289
1122,3,1205,1333-53-5,243,181;243;288;326
1123,3,1206,1333-58-0,22,22;257;289;243
1124,3,1210,1334-76-5,57,215;536;57
1125,3,1211,1334-78-7,215,111;482;408;112;157
1126,3,1212,1334-82-3,24,353;257;215;193
1127,3,1222,1335-44-0,243,202;410;243;538;154
1128,3,1223,1335-46-2,201,408;366;522;538
1129,3,1225,1335-66-6,243,9;257;288;181;243;538
1130,3,1231,1337-83-3,9,243;9;135;430
1131,3,1238,1338-43-8,191,353;531;191
1132,3,1259,1365-19-1,201,257;147;495;201;181;243;538
1133,3,1264,1397-83-7,538,178;155;482;429;538;17
1134,3,1271,1405-86-3,470,
1135,3,1274,1405-92-1,538,459;378;178;531;538;520;99
1136,3,1298,1438-91-1,11,480;518;221;264;354;415
1137,3,1300,1438-94-4,518,518;102;243;141;334;531;69;404;417;398;215
1138,3,1303,1445-91-6,201,220;266;475
1139,3,1306,1450-72-2,201,201;257;482
1140,3,1308,1450-85-7,354,356
1141,3,1313,1455-20-5,215,115;210;201;327;215
1142,3,1344,1487-49-6,25,536;25;215;243
1143,3,1347,1490-04-6,325,325;329;147
1144,3,1359,1504-55-8,40,201;482;364;40;474
1145,3,1361,1504-74-1,470,353;126;482;372;538;95;470;127;423
1146,3,1362,1504-75-2,470,126;470
1147,3,1364,1506-02-1,335,335;482;408;17;215
1148,3,1371,1516-17-2,243,353;257;414;243;208;373
1149,3,1374,1517-69-7,201,201;243;181;261
1150,3,1382,1534-08-3,480,184;480;518;105;171;80
1151,3,1386,1540-29-0,536,215;536
1152,3,1397,1551-43-5,215,257;215
1153,3,1398,1551-44-6,215,25;396;201;215
1154,3,1399,1552-67-6,215,274;243;482;215;438
1155,3,1420,1561-11-1,468,468;105
1156,3,1428,1565-81-7,201,358;191;201;337;334
1157,3,1434,1569-60-4,243,353;243;482;149
1158,3,1441,1575-74-2,105,215;105
1159,3,1443,1576-78-9,243,374;191;518;41;243;505
1160,3,1446,1576-85-8,243,6;533;480;518;319;243;326;145;398
1161,3,1448,1576-87-0,243,358;243;25;502;215;415
1162,3,1449,1576-95-0,243,189;398;215;243
1163,3,1451,1577-18-0,105,105;259;243;4;531;171;215
1164,3,1452,1577-19-1,191,353;191
1165,3,1466,1587-20-8,189,215;189
1166,3,1471,1599-47-9,243,482;178;243;337
1167,3,1472,1599-49-1,215,295;518;393;243;482;531;208;396;215;135;437
1168,3,1479,1604-28-0,470,533;126;257;147;482;243;140;538;470
1169,3,1480,1604-34-8,337,178;337
1170,3,1482,1608-72-6,215,61;2;208;188;215
1171,3,1491,1617-23-8,215,147;243;482;396;112;215;415
1172,3,1497,1617-40-9,215,215;438;57
1173,3,1503,1618-26-4,480,480;221;11;264;243;336;326;334;470;415
1174,3,1509,1628-89-3,,195;243;491
1175,3,1510,1629-58-9,470,189;221;390;336;354;415
1176,3,1511,1629-60-3,,518;145;326
1177,3,1513,1632-73-1,82,82;178;482;395;291;429;538
1178,3,1524,1639-09-4,480,480;354
1179,3,1528,1646-26-0,157,282;362;201;259;482;261;505;344;157
1180,3,1530,1653-30-1,531,447;208;531;136
1181,3,1541,1669-44-9,181,353;257;181;482;251;277;334;61;470
1182,3,1543,1670-47-9,215,499;215;438;538
1183,3,1555,1679-07-8,11,184;518;221;319;11;264;101;354
1184,3,1581,1703-52-2,224,208;75;224
1185,3,1582,1706-12-3,201,201;430;341
1186,3,1585,1708-34-5,215,353;191;534;243;341;154;208;398
1187,3,1586,1708-35-6,181,332;181;243;482;216
1188,3,1589,1708-81-2,243,240;353;191;257;178;181;243;531
1189,3,1590,1708-82-3,243,25;41;215;243
1190,3,1599,1725-01-5,335,353;335;201;482;22;215
1191,3,1604,1727-68-0,538,522;201;482;538
1192,3,1605,1728-46-7,538,82;366;329;538
1193,3,1608,1730-97-8,215,208;139;215;141
1194,3,1609,1731-81-3,135,353;531;135
1195,3,1610,1731-84-6,215,381;482;531;536;505;215
1196,3,1611,1731-86-8,531,531;191;215
1197,3,1618,1733-25-1,329,329;518;147;243;482;470
1198,3,1626,1754-62-7,40,40;112;482;475
1199,3,1631,1759-28-0,348,518;348;139;337;429;428
1200,3,1637,1767-46-0,470,468;348;470;243
1201,3,1639,1775-43-5,243,240;105;481;243;4;215
1202,3,1646,1786-08-9,243,533;257;518;329;201;243;341;101;154
1203,3,1654,1797-74-6,259,259;215;438
1204,3,1674,1838-88-6,215,41;381;215;322
1205,3,1688,1862-61-9,201,226;257;201;130;243;215
1206,3,1691,1866-31-5,215,30;377;399;40;396;470;127;215
1207,3,1692,1866-31-5,215,215
1208,3,1693,1866-31-5,215,30;40;215;377
1209,3,1696,1871-67-6,4,468;191;9;518;105;337;531;177
1210,3,1697,1875-89-4,201,272;297;430;201;333;538
1211,3,1698,1878-18-8,480,319;60;480
1212,3,1709,1883-78-9,141,319;201;451;141
1213,3,1710,1885-38-7,470,163;470;95;126
1214,3,1711,1888-80-8,82,82;190;538;61;100
